status,timing,thread_id,execution_time,adapter_response,message,failures,unique_id
pass,"[{'name': 'compile', 'started_at': '2023-07-09T21:14:53.227923Z', 'completed_at': '2023-07-09T21:14:53.230142Z'}, {'name': 'execute', 'started_at': '2023-07-09T21:14:53.230348Z', 'completed_at': '2023-07-09T21:14:55.262351Z'}]",Thread-1 (worker),2.036060094833374,{},,0,test.csp.cardholdertest
pass,"[{'name': 'compile', 'started_at': '2023-07-09T21:14:55.268909Z', 'completed_at': '2023-07-09T21:14:55.727094Z'}, {'name': 'execute', 'started_at': '2023-07-09T21:14:55.727530Z', 'completed_at': '2023-07-09T21:14:56.546223Z'}]",Thread-1 (worker),1.2793071269989014,{},,0,test.csp.dbt_expectations_source_expect_column_values_to_be_of_type_curated_rskcsp_ds_cardholder_curated_CCS_Email__c__String.4383285e09
pass,"[{'name': 'compile', 'started_at': '2023-07-09T21:14:56.550386Z', 'completed_at': '2023-07-09T21:14:56.920529Z'}, {'name': 'execute', 'started_at': '2023-07-09T21:14:56.920937Z', 'completed_at': '2023-07-09T21:14:58.272475Z'}]",Thread-1 (worker),1.7243220806121826,{},,0,test.csp.dbt_expectations_source_expect_column_values_to_be_of_type_curated_rskcsp_ds_cardholder_curated_CCS_Facility_ID__c__String.d250c7f57d
pass,"[{'name': 'compile', 'started_at': '2023-07-09T21:14:58.276453Z', 'completed_at': '2023-07-09T21:14:58.548620Z'}, {'name': 'execute', 'started_at': '2023-07-09T21:14:58.549097Z', 'completed_at': '2023-07-09T21:14:59.320800Z'}]",Thread-1 (worker),1.0464153289794922,{},,0,test.csp.dbt_expectations_source_expect_column_values_to_be_of_type_curated_rskcsp_ds_cardholder_curated_CCS_First_Name__c__String.e0e09baba0
pass,"[{'name': 'compile', 'started_at': '2023-07-09T21:14:59.324846Z', 'completed_at': '2023-07-09T21:14:59.623194Z'}, {'name': 'execute', 'started_at': '2023-07-09T21:14:59.623639Z', 'completed_at': '2023-07-09T21:15:00.336028Z'}]",Thread-1 (worker),1.0139820575714111,{},,0,test.csp.dbt_expectations_source_expect_column_values_to_be_of_type_curated_rskcsp_ds_cardholder_curated_CCS_Is_Card_Needed__c__String.7f72683ffb
pass,"[{'name': 'compile', 'started_at': '2023-07-09T21:15:00.341521Z', 'completed_at': '2023-07-09T21:15:00.675424Z'}, {'name': 'execute', 'started_at': '2023-07-09T21:15:00.675899Z', 'completed_at': '2023-07-09T21:15:01.978964Z'}]",Thread-1 (worker),1.6388053894042969,{},,0,test.csp.dbt_expectations_source_expect_column_values_to_be_of_type_curated_rskcsp_ds_cardholder_curated_CCS_Last_Name__c__String.8cdce274c7
pass,"[{'name': 'compile', 'started_at': '2023-07-09T21:15:01.980435Z', 'completed_at': '2023-07-09T21:15:02.246980Z'}, {'name': 'execute', 'started_at': '2023-07-09T21:15:02.247440Z', 'completed_at': '2023-07-09T21:15:02.878141Z'}]",Thread-1 (worker),0.8991868495941162,{},,0,test.csp.dbt_expectations_source_expect_column_values_to_be_of_type_curated_rskcsp_ds_cardholder_curated_CCS_Level_of_Control__c__String.229bf943dd
pass,"[{'name': 'compile', 'started_at': '2023-07-09T21:15:02.882127Z', 'completed_at': '2023-07-09T21:15:03.175417Z'}, {'name': 'execute', 'started_at': '2023-07-09T21:15:03.175902Z', 'completed_at': '2023-07-09T21:15:03.785394Z'}]",Thread-1 (worker),0.9053440093994141,{},,0,test.csp.dbt_expectations_source_expect_column_values_to_be_of_type_curated_rskcsp_ds_cardholder_curated_CCS_Mobile_Number__c__String.981e790b85
pass,"[{'name': 'compile', 'started_at': '2023-07-09T21:15:03.790063Z', 'completed_at': '2023-07-09T21:15:04.025814Z'}, {'name': 'execute', 'started_at': '2023-07-09T21:15:04.026017Z', 'completed_at': '2023-07-09T21:15:04.941934Z'}]",Thread-1 (worker),1.1542999744415283,{},,0,test.csp.dbt_expectations_source_expect_column_values_to_be_of_type_curated_rskcsp_ds_cardholder_curated_CCS_Title__c__String.93d1b7980b
pass,"[{'name': 'compile', 'started_at': '2023-07-09T21:15:04.945060Z', 'completed_at': '2023-07-09T21:15:05.379260Z'}, {'name': 'execute', 'started_at': '2023-07-09T21:15:05.379685Z', 'completed_at': '2023-07-09T21:15:06.011666Z'}]",Thread-1 (worker),1.0689730644226074,{},,0,test.csp.dbt_expectations_source_expect_column_values_to_be_of_type_curated_rskcsp_ds_cardholder_curated_CreatedById__String.75d4c9f264
pass,"[{'name': 'compile', 'started_at': '2023-07-09T21:15:06.016402Z', 'completed_at': '2023-07-09T21:15:07.551866Z'}, {'name': 'execute', 'started_at': '2023-07-09T21:15:07.552321Z', 'completed_at': '2023-07-09T21:15:08.201204Z'}]",Thread-1 (worker),2.1867311000823975,{},,0,test.csp.dbt_expectations_source_expect_column_values_to_be_of_type_curated_rskcsp_ds_cardholder_curated_CurrencyIsoCode__String.2b12d5d003
pass,"[{'name': 'compile', 'started_at': '2023-07-09T21:15:08.204979Z', 'completed_at': '2023-07-09T21:15:09.050514Z'}, {'name': 'execute', 'started_at': '2023-07-09T21:15:09.051019Z', 'completed_at': '2023-07-09T21:15:09.921649Z'}]",Thread-1 (worker),1.7187349796295166,{},,0,test.csp.dbt_expectations_source_expect_column_values_to_be_of_type_curated_rskcsp_ds_cardholder_curated_Id__String.78a8d212e0
pass,"[{'name': 'compile', 'started_at': '2023-07-09T21:15:09.925077Z', 'completed_at': '2023-07-09T21:15:10.297468Z'}, {'name': 'execute', 'started_at': '2023-07-09T21:15:10.297994Z', 'completed_at': '2023-07-09T21:15:10.893288Z'}]",Thread-1 (worker),0.970736026763916,{},,0,test.csp.dbt_expectations_source_expect_column_values_to_be_of_type_curated_rskcsp_ds_cardholder_curated_LastModifiedById__String.feca5019bf
pass,"[{'name': 'compile', 'started_at': '2023-07-09T21:15:10.897886Z', 'completed_at': '2023-07-09T21:15:11.137816Z'}, {'name': 'execute', 'started_at': '2023-07-09T21:15:11.138337Z', 'completed_at': '2023-07-09T21:15:12.693634Z'}]",Thread-1 (worker),1.7982568740844727,{},,0,test.csp.dbt_expectations_source_expect_column_values_to_be_of_type_curated_rskcsp_ds_cardholder_curated_Name__String.0fe179ecb6
pass,"[{'name': 'compile', 'started_at': '2023-07-09T21:15:12.698681Z', 'completed_at': '2023-07-09T21:15:12.714002Z'}, {'name': 'execute', 'started_at': '2023-07-09T21:15:12.714373Z', 'completed_at': '2023-07-09T21:15:13.747610Z'}]",Thread-1 (worker),1.051023006439209,{},,0,test.csp.source_length_check_curated_rskcsp_ds_cardholder_curated_CCS_Email__c__80.48c668962f
pass,"[{'name': 'compile', 'started_at': '2023-07-09T21:15:13.750788Z', 'completed_at': '2023-07-09T21:15:13.758944Z'}, {'name': 'execute', 'started_at': '2023-07-09T21:15:13.759329Z', 'completed_at': '2023-07-09T21:15:15.313045Z'}]",Thread-1 (worker),1.5646789073944092,{},,0,test.csp.source_length_check_curated_rskcsp_ds_cardholder_curated_CCS_Facility_ID__c__18.975a514e01
pass,"[{'name': 'compile', 'started_at': '2023-07-09T21:15:15.318294Z', 'completed_at': '2023-07-09T21:15:15.328670Z'}, {'name': 'execute', 'started_at': '2023-07-09T21:15:15.329092Z', 'completed_at': '2023-07-09T21:15:16.197639Z'}]",Thread-1 (worker),0.882270097732544,{},,0,test.csp.source_length_check_curated_rskcsp_ds_cardholder_curated_CCS_First_Name__c__255.b70ed6ec5c
pass,"[{'name': 'compile', 'started_at': '2023-07-09T21:15:16.202742Z', 'completed_at': '2023-07-09T21:15:16.213563Z'}, {'name': 'execute', 'started_at': '2023-07-09T21:15:16.214024Z', 'completed_at': '2023-07-09T21:15:18.881570Z'}]",Thread-1 (worker),2.6817069053649902,{},,0,test.csp.source_length_check_curated_rskcsp_ds_cardholder_curated_CCS_Is_Card_Needed__c__255.2836e217e0
pass,"[{'name': 'compile', 'started_at': '2023-07-09T21:15:18.886577Z', 'completed_at': '2023-07-09T21:15:18.898853Z'}, {'name': 'execute', 'started_at': '2023-07-09T21:15:18.899270Z', 'completed_at': '2023-07-09T21:15:19.995275Z'}]",Thread-1 (worker),1.1103601455688477,{},,0,test.csp.source_length_check_curated_rskcsp_ds_cardholder_curated_CCS_Last_Name__c__255.4b67642f28
pass,"[{'name': 'compile', 'started_at': '2023-07-09T21:15:19.998322Z', 'completed_at': '2023-07-09T21:15:20.006085Z'}, {'name': 'execute', 'started_at': '2023-07-09T21:15:20.006424Z', 'completed_at': '2023-07-09T21:15:21.055434Z'}]",Thread-1 (worker),1.0593552589416504,{},,0,test.csp.source_length_check_curated_rskcsp_ds_cardholder_curated_CCS_Level_of_Control__c__255.cf76a1ee91
pass,"[{'name': 'compile', 'started_at': '2023-07-09T21:15:21.059807Z', 'completed_at': '2023-07-09T21:15:21.065619Z'}, {'name': 'execute', 'started_at': '2023-07-09T21:15:21.065996Z', 'completed_at': '2023-07-09T21:15:22.748924Z'}]",Thread-1 (worker),1.6921048164367676,{},,0,test.csp.source_length_check_curated_rskcsp_ds_cardholder_curated_CCS_Mobile_Number__c__40.371229c6c9
pass,"[{'name': 'compile', 'started_at': '2023-07-09T21:15:22.753967Z', 'completed_at': '2023-07-09T21:15:22.762605Z'}, {'name': 'execute', 'started_at': '2023-07-09T21:15:22.763191Z', 'completed_at': '2023-07-09T21:15:24.683931Z'}]",Thread-1 (worker),1.9314749240875244,{},,0,test.csp.source_length_check_curated_rskcsp_ds_cardholder_curated_CCS_Title__c__255.f5e3caa7fe
pass,"[{'name': 'compile', 'started_at': '2023-07-09T21:15:24.685943Z', 'completed_at': '2023-07-09T21:15:24.691430Z'}, {'name': 'execute', 'started_at': '2023-07-09T21:15:24.691672Z', 'completed_at': '2023-07-09T21:15:25.492252Z'}]",Thread-1 (worker),0.8083279132843018,{},,0,test.csp.source_length_check_curated_rskcsp_ds_cardholder_curated_CreatedById__18.41a5de79d4
pass,"[{'name': 'compile', 'started_at': '2023-07-09T21:15:25.496698Z', 'completed_at': '2023-07-09T21:15:25.505853Z'}, {'name': 'execute', 'started_at': '2023-07-09T21:15:25.506262Z', 'completed_at': '2023-07-09T21:15:26.349946Z'}]",Thread-1 (worker),0.8554880619049072,{},,0,test.csp.source_length_check_curated_rskcsp_ds_cardholder_curated_CurrencyIsoCode__3.c3b3077d33
pass,"[{'name': 'compile', 'started_at': '2023-07-09T21:15:26.354141Z', 'completed_at': '2023-07-09T21:15:26.362411Z'}, {'name': 'execute', 'started_at': '2023-07-09T21:15:26.362808Z', 'completed_at': '2023-07-09T21:15:27.141924Z'}]",Thread-1 (worker),0.7897951602935791,{},,0,test.csp.source_length_check_curated_rskcsp_ds_cardholder_curated_Id__18.b5049735d3
pass,"[{'name': 'compile', 'started_at': '2023-07-09T21:15:27.146397Z', 'completed_at': '2023-07-09T21:15:27.153575Z'}, {'name': 'execute', 'started_at': '2023-07-09T21:15:27.153954Z', 'completed_at': '2023-07-09T21:15:27.930340Z'}]",Thread-1 (worker),0.7869172096252441,{},,0,test.csp.source_length_check_curated_rskcsp_ds_cardholder_curated_LastModifiedById__18.9ae03035f1
pass,"[{'name': 'compile', 'started_at': '2023-07-09T21:15:27.936110Z', 'completed_at': '2023-07-09T21:15:27.943536Z'}, {'name': 'execute', 'started_at': '2023-07-09T21:15:27.943999Z', 'completed_at': '2023-07-09T21:15:28.815374Z'}]",Thread-1 (worker),0.8821120262145996,{},,0,test.csp.source_length_check_curated_rskcsp_ds_cardholder_curated_Name__80.c6237921f6
pass,"[{'name': 'compile', 'started_at': '2023-07-09T21:15:28.819535Z', 'completed_at': '2023-07-09T21:15:28.832353Z'}, {'name': 'execute', 'started_at': '2023-07-09T21:15:28.832833Z', 'completed_at': '2023-07-09T21:15:30.843895Z'}]",Thread-1 (worker),2.026953935623169,{},,0,test.csp.source_not_null_curated_rskcsp_ds_cardholder_curated_CCS_Facility_ID__c.93b5c8f1c6
pass,"[{'name': 'compile', 'started_at': '2023-07-09T21:15:30.848666Z', 'completed_at': '2023-07-09T21:15:30.858396Z'}, {'name': 'execute', 'started_at': '2023-07-09T21:15:30.858787Z', 'completed_at': '2023-07-09T21:15:31.751676Z'}]",Thread-1 (worker),0.9057290554046631,{},,0,test.csp.source_not_null_curated_rskcsp_ds_cardholder_curated_CreatedById.11104cbeb1
pass,"[{'name': 'compile', 'started_at': '2023-07-09T21:15:31.756808Z', 'completed_at': '2023-07-09T21:15:31.766488Z'}, {'name': 'execute', 'started_at': '2023-07-09T21:15:31.766955Z', 'completed_at': '2023-07-09T21:15:32.479457Z'}]",Thread-1 (worker),0.7253403663635254,{},,0,test.csp.source_not_null_curated_rskcsp_ds_cardholder_curated_CreatedDate.cd39601b66
pass,"[{'name': 'compile', 'started_at': '2023-07-09T21:15:32.483769Z', 'completed_at': '2023-07-09T21:15:32.490955Z'}, {'name': 'execute', 'started_at': '2023-07-09T21:15:32.491440Z', 'completed_at': '2023-07-09T21:15:33.234706Z'}]",Thread-1 (worker),0.7530109882354736,{},,0,test.csp.source_not_null_curated_rskcsp_ds_cardholder_curated_Id.8058ab6385
pass,"[{'name': 'compile', 'started_at': '2023-07-09T21:15:33.239103Z', 'completed_at': '2023-07-09T21:15:33.245858Z'}, {'name': 'execute', 'started_at': '2023-07-09T21:15:33.246265Z', 'completed_at': '2023-07-09T21:15:34.375106Z'}]",Thread-1 (worker),1.1383957862854004,{},,0,test.csp.source_not_null_curated_rskcsp_ds_cardholder_curated_LastModifiedById.b9ad66c0fb
pass,"[{'name': 'compile', 'started_at': '2023-07-09T21:15:34.379813Z', 'completed_at': '2023-07-09T21:15:34.387506Z'}, {'name': 'execute', 'started_at': '2023-07-09T21:15:34.387942Z', 'completed_at': '2023-07-09T21:15:35.626853Z'}]",Thread-1 (worker),1.2487809658050537,{},,0,test.csp.source_not_null_curated_rskcsp_ds_cardholder_curated_LastModifiedDate.6aed7f5098
pass,"[{'name': 'compile', 'started_at': '2023-07-09T21:15:35.629802Z', 'completed_at': '2023-07-09T21:15:35.636038Z'}, {'name': 'execute', 'started_at': '2023-07-09T21:15:35.636431Z', 'completed_at': '2023-07-09T21:15:37.592965Z'}]",Thread-1 (worker),1.9656257629394531,{},,0,test.csp.source_not_null_curated_rskcsp_ds_cardholder_curated_Name.b60c864c33
